Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,16.48273087,,,,,,,,,,,,,27.24517059,,,,,,,,,,34.65784836,,,,28.70211029,,,,,,32.94881821,,,,,,,,,,47.09999847,
Burkina Faso,BFA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,8.830229759,,,,,,,,,,,,,,,,13.56923008,,,,,12.84817028,,,,,,,21.82291985,,23.52219963,22.47257996,28.29365921,,,,,,,34.59939957,,,,39.3458519,29.66328049,,,34.49000168,
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,29.22723007,,,,,,,,,,35.31930161,,,,,,,,,,47.48550034,,,,,,46.66360092,,,,58.7691803,57.86074829,61.01554108,61.09329987,65.1373291,72.7587204,72.89296722,73.91220093,74.6844635,74.9088974,76.36287689,,
Bulgaria,BGR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.20355988,,,,,,,,,,98.35244751,,,,,,,,,,98.41999817,,
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,69.75350952,,,,,,,,,,84.01383209,,,,,,,,,,86.54873657,,,,,,,,,,92.30000305,,,,,,,,,,,97.8724823,
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.063591,,,,,,,,,96.6631012,,,,,,,,,,,98.14203644,,96.99176788,,,,,,,,,98.30000305,
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.88336945,,,,,,,,,,99.59072876,,,,,,,,,,99.6170578,,,,,,,,,,99.87400055,,,,
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.29842377,,,,,,,,,,80.90000153,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
