Country Name,Country Code,Education Expenditure,GDP,Literacy Rate,Employment Rate
Iceland,ISL,7.139665127,35026783343,6.458327774,73.92058178
India,IND,4.635000229,3.84759E+12,77.31548764,54.73679103
Indonesia,IDN,2.420125961,1.4312E+12,96.08659684,66.14278246
"Iran, Islamic Rep.",IRN,2.669980049,4.20899E+11,89.22663544,40.36201566
Iraq,IRQ,3.551500082,2.6696E+11,86.06261016,37.06204496
Ireland,IRL,2.930000067,5.74552E+11,2.650390526,63.15317281
Isle of Man,IMN,0,7931193222,0,0
Israel,ISR,6.460000038,5.69493E+11,92.23341961,64.78641918
Italy,ITA,4.019999981,2.41884E+12,99.37276742,47.90774991
Jamaica,JAM,5.65500021,21410498349,80.94727521,66.61198733
Japan,JPN,3.460000038,4.47666E+12,3.129812666,62.4569902
Jordan,JOR,3.240269899,53792390246,98.46630883,33.92322527
Kazakhstan,KAZ,4.204999924,2.81308E+11,99.80761037,66.59391691
Kenya,KEN,4.628155708,1.16437E+11,83.59672469,70.86598644
Kiribati,KIR,16.58246231,362744661.6,15,15
"Korea, Dem. People's Rep.",PRK,0,0,99.99819183,72.351
"Korea, Rep.",KOR,5.400000095,1.88012E+12,98.85861905,64.60854012
Kosovo,XKX,0,10438351483,0,0
Kuwait,KWT,3.759979963,1.72776E+11,96.57802727,71.04160141
Kyrgyz Republic,KGZ,7.959000111,16001699101,99.62879648,65.77516591
Lao PDR,LAO,1.394000053,16242710867,87.67736584,57.89965273
Late-demographic dividend,LTE,3.980000019,3.03821E+13,96.71333659,63.22257854
Latin America & Caribbean,LCN,3.894099951,7.59412E+12,94.79033056,60.14437701
Latin America & Caribbean (excluding high income),LAC,3.917050004,6.47935E+12,94.5464241,60.71807595
Latin America & the Caribbean (IDA & IBRD countries),TLA,3.894099951,7.24992E+12,94.70618362,60.30454676
Latvia,LVA,5.619999886,48062804096,99.89559147,59.6140567
Least developed countries: UN classification,LDC,3.210999966,1.59163E+12,67.92370042,60.99484745
